Median_Household_Income_2018,PCTPOVALL_2018,Unemployment_rate_2018,Percent of adults with less than a high school diploma 2014-18,diabetes_prevalence,Heart disease_prevalence
43371,15.0,4.3,10.5,14.5,10.7
68479,9.9,2.5,8.5,9.1,5.7
45906,20.6,3.4,23.1,14.6,9.8
58715,10.0,1.3,5.8,13.0,9.8
78503,8.6,2.4,8.0,10.4,6.4
47047,16.2,2.2,11.8,14.1,11.0
50893,15.2,2.6,15.0,10.1,6.9
37732,22.8,4.9,22.4,16.0,11.2
51030,12.3,4.6,14.1,13.0,8.8
51509,15.3,4.3,10.4,12.3,8.7
61508,9.6,4.9,7.4,10.0,7.2
37987,23.4,4.2,19.6,15.0,10.2
43651,17.7,4.0,17.5,14.5,10.2
40959,14.2,5.6,8.0,15.1,12.1
37428,21.7,3.9,23.0,16.1,9.6
78846,8.5,3.0,7.8,10.5,5.9
48988,16.2,4.7,9.4,11.9,8.7
60082,11.0,2.8,6.8,10.3,7.2
45440,13.9,2.9,12.4,13.6,9.8
57925,13.7,2.8,14.5,12.0,8.3
60180,12.0,3.7,8.1,10.3,7.1
42435,19.9,4.8,16.7,14.8,9.0
50610,15.1,4.1,16.2,13.7,8.2
54866,9.5,2.2,11.4,10.9,7.8
50112,16.4,3.8,11.2,12.6,7.4
41127,19.6,5.5,17.7,16.4,10.8
34009,20.3,4.5,20.4,16.5,13.3
41864,16.9,3.6,15.8,13.6,10.2
41213,19.0,5.7,16.4,15.2,11.1
54440,14.8,4.1,11.8,14.2,10.0
38613,17.1,7.8,10.1,15.8,12.8
83014,4.2,2.5,3.6,8.4,6.1
52093,13.7,3.3,9.2,10.9,7.9
57299,13.9,3.5,18.1,12.5,8.7
46651,17.8,3.8,11.7,15.0,8.7
40468,17.8,11.7,13.9,15.2,10.9
42782,18.4,4.8,23.8,14.2,7.8
56978,8.0,2.9,10.2,10.1,7.5
47757,16.7,4.0,20.7,15.6,10.0
74456,11.1,3.0,5.6,7.9,5.8
42022,22.6,6.2,22.9,12.5,7.7
106200,6.4,2.7,11.5,10.0,5.0
35636,26.5,5.2,16.8,16.4,9.3
82633,10.0,3.5,11.2,11.2,5.3
42149,15.0,3.8,20.4,14.9,10.7
50267,9.1,2.2,8.3,12.3,8.1
35812,26.0,6.8,23.9,15.4,9.6
41873,21.3,3.9,10.9,12.4,8.7
49280,18.6,3.3,19.8,11.8,7.3
44709,21.3,4.3,11.5,14.2,10.2
53337,11.2,3.4,8.0,10.3,7.6
44938,15.1,5.2,12.2,14.1,9.6
47713,17.7,3.9,16.9,14.9,9.6
46490,14.5,4.3,8.3,13.6,10.3
58398,9.2,4.4,6.0,11.3,7.8
46027,17.9,4.4,19.8,16.6,10.1
58855,9.2,2.4,10.1,10.8,7.6
38566,27.3,5.7,28.0,16.2,7.3
46954,11.0,2.6,7.6,12.5,9.6
50131,14.7,4.4,15.1,14.2,8.6
59043,9.8,2.8,11.3,12.3,8.9
48499,17.6,3.7,12.4,13.0,8.6
35025,17.8,4.1,15.1,17.0,12.8
59722,9.1,2.5,4.3,10.4,7.5
54984,12.3,2.7,8.6,11.1,8.1
105374,6.2,3.0,5.1,7.8,4.6
57036,12.6,5.0,10.3,11.9,6.8
36658,22.1,7.9,22.4,17.6,12.7
47865,18.7,5.3,10.8,12.6,8.1
49457,16.6,6.6,11.6,14.5,10.5
67242,8.7,3.1,7.7,9.4,6.3
41418,20.2,6.6,11.6,15.4,9.7
60349,12.6,3.6,10.0,10.6,6.8
75836,9.9,4.0,8.9,12.0,6.4
51046,20.7,3.3,6.4,9.6,5.9
57240,11.6,2.3,31.2,14.8,9.1
50261,11.9,2.8,8.8,12.7,8.2
51089,12.7,3.8,13.8,12.5,8.6
40653,22.2,8.3,18.4,15.8,9.6
68106,9.4,3.5,9.7,9.7,5.1
58295,11.0,2.7,9.9,12.9,8.3
68581,9.0,3.0,8.5,11.1,6.1
49538,12.7,2.5,3.7,7.9,5.4
38194,20.6,3.5,15.1,15.2,10.6
78714,7.4,2.6,8.2,9.9,5.9
42522,18.3,4.1,18.3,11.7,8.0
37911,23.7,4.5,23.8,17.4,10.3
57613,11.4,4.6,11.8,12.9,8.2
62029,9.2,1.9,4.8,9.9,7.1
84170,9.1,3.8,15.6,9.7,5.9
36779,26.1,3.5,30.9,16.8,9.8
51132,14.4,4.1,9.9,9.1,7.0
35880,44.3,4.4,15.2,11.2,7.2
62247,10.7,3.3,9.3,10.6,7.6
54063,13.6,5.8,11.3,11.5,8.0
34054,23.0,6.3,20.8,18.3,13.3
57337,10.8,3.2,10.6,12.8,7.7
50190,13.5,5.1,10.7,13.1,8.7
41701,16.8,3.6,17.7,12.8,9.5
32321,31.1,6.5,24.8,18.7,12.9
49580,14.7,4.4,10.5,12.1,8.0
41249,17.2,4.9,18.6,16.7,12.2
61219,8.9,2.8,7.8,10.8,7.2
53447,12.4,2.5,21.6,13.2,8.3
51690,10.9,2.4,7.6,11.0,8.2
101463,7.8,3.2,10.6,9.8,5.4
51911,9.2,2.2,5.8,11.1,8.5
67220,9.4,2.1,17.5,13.1,8.6
47733,15.1,4.1,13.9,13.4,9.0
38704,20.9,6.0,20.2,16.5,12.0
40077,25.5,5.0,14.5,14.4,8.7
43650,14.2,1.8,6.8,11.3,8.6
58307,8.7,4.0,4.8,9.1,6.7
42457,18.8,3.0,17.8,14.3,10.2
42479,19.5,4.3,11.3,14.1,8.9
47039,14.2,3.2,12.3,12.8,8.4
60556,9.0,2.7,12.6,11.9,8.2
